Date,Open,High,Low,Close,Volume,Adj Close
2013-04-12,534.65,536.42,529.61,532.99,679400,532.99
2013-04-11,534.42,542.32,532.57,541.24,567900,541.24
2013-04-10,529.67,537.98,528.43,534.43,483900,534.43
2013-04-09,534.00,534.35,523.15,527.64,901100,527.64
2013-04-08,530.69,535.66,529.78,534.37,363100,534.37
2013-04-05,527.04,532.40,526.99,531.60,116400,531.60
2013-04-04,532.75,535.64,530.14,534.22,443200,533.62
2013-04-03,540.85,542.96,530.39,533.25,533000,532.65
2013-04-02,540.70,543.99,539.02,540.59,369600,539.98
2013-04-01,542.44,546.90,536.00,537.23,550100,536.63
2013-03-28,538.40,541.96,536.90,541.13,668900,540.52
2013-03-27,532.21,540.73,530.38,538.03,648300,537.43
2013-03-26,523.00,537.19,522.22,535.47,910600,534.87
2013-03-25,520.25,523.96,518.77,519.99,542000,519.41
2013-03-22,515.82,518.78,515.53,517.50,505200,516.92
2013-03-21,516.44,517.72,513.22,514.01,550500,513.43
2013-03-20,516.00,518.70,514.35,518.62,455200,518.04
2013-03-19,516.22,517.84,508.16,511.60,630900,511.03
2013-03-18,515.31,519.66,514.73,515.01,562600,514.43
2013-03-15,525.99,528.83,518.22,519.37,1159800,518.79
2013-03-14,528.55,531.25,526.71,527.18,556700,526.59
2013-03-13,522.33,528.37,521.12,527.48,471500,526.89
2013-03-12,529.87,530.99,522.23,523.16,479800,522.57
2013-03-11,529.58,532.47,528.41,530.89,409100,530.29
2013-03-08,530.05,530.32,524.46,529.23,506800,528.64
2013-03-07,527.72,530.00,525.70,526.67,668500,526.08
2013-03-06,525.52,531.23,523.35,527.58,517900,526.99
2013-03-05,522.53,530.78,521.85,527.10,589500,526.51
2013-03-04,515.98,522.41,515.76,521.41,348600,520.82
2013-03-01,515.00,519.51,513.29,518.30,414200,517.72
2013-02-28,515.19,521.37,513.39,517.82,614800,517.24
2013-02-27,510.96,516.17,507.97,515.19,699400,514.61
2013-02-26,513.54,515.77,507.36,509.70,795500,509.13
2013-02-25,525.34,526.00,510.90,510.90,867200,510.33
2013-02-22,522.91,524.43,517.29,523.83,659100,523.24
2013-02-21,514.00,520.93,510.56,519.59,681400,519.01
2013-02-20,522.00,524.21,512.91,512.91,537700,512.33
2013-02-19,525.00,526.49,520.96,522.86,423400,522.27
2013-02-15,516.31,524.94,516.31,523.13,703200,522.54
2013-02-14,516.15,523.26,516.15,522.16,665600,521.57
2013-02-13,521.25,521.90,516.18,519.21,409600,518.63
2013-02-12,520.86,522.13,518.51,519.64,337900,519.06
2013-02-11,525.62,526.16,519.23,520.85,561600,520.26
2013-02-08,518.46,524.47,518.31,524.47,521400,523.88
2013-02-07,521.90,523.30,516.25,519.55,651700,518.97
2013-02-06,520.15,523.87,518.10,523.55,601600,522.96
2013-02-05,520.37,522.02,516.80,520.69,798300,520.11
2013-02-04,516.29,518.00,512.09,514.22,615200,513.64
2013-02-01,520.81,522.54,513.69,518.71,994900,518.13
2013-01-31,532.00,535.35,513.00,518.40,2041200,517.82
2013-01-30,516.64,521.60,513.90,516.00,1160100,515.42
2013-01-29,514.12,520.75,514.05,518.48,883300,517.90
2013-01-28,520.94,520.94,513.46,514.12,800200,513.54
2013-01-25,522.80,522.80,517.24,519.42,715700,518.84
2013-01-24,517.93,525.70,517.73,522.26,586900,521.67
2013-01-23,519.61,522.46,515.12,517.56,499100,516.98
2013-01-22,524.79,524.79,514.63,519.76,746200,519.18
2013-01-18,519.56,521.50,513.42,521.00,1076900,520.41
2013-01-17,524.67,526.67,521.30,523.35,525000,522.76
2013-01-16,516.43,522.55,515.03,521.29,619000,520.70
2013-01-15,522.24,523.40,519.20,522.80,585800,522.21
2013-01-14,529.55,529.98,521.23,523.51,991100,522.92
2013-01-11,527.51,529.79,525.52,528.68,642400,528.09
2013-01-10,532.47,532.47,524.29,527.65,1256400,527.06
2013-01-09,525.20,532.39,522.67,532.39,1146100,531.79
2013-01-08,520.03,521.05,514.94,517.82,698300,517.24
2013-01-07,512.50,521.30,511.66,519.53,1139800,518.95
2013-01-04,511.15,512.20,507.00,510.98,1147500,510.11
2013-01-03,510.46,515.46,508.15,511.00,945200,510.13
2013-01-02,506.30,510.27,501.00,510.27,1227800,509.40
2012-12-31,483.37,491.92,482.90,491.28,656200,490.44
2012-12-28,485.00,488.65,482.85,483.08,468600,482.25
2012-12-27,486.01,492.86,481.12,487.87,623300,487.04
2012-12-26,494.53,495.94,485.00,486.20,574900,485.37
2012-12-24,492.86,496.25,492.48,495.02,269500,494.17
2012-12-21,493.00,496.89,488.27,493.57,832000,492.73
2012-12-20,492.23,498.62,489.47,498.53,935800,497.68
2012-12-19,494.80,494.89,488.92,489.39,562900,488.55
2012-12-18,490.00,494.98,487.81,492.88,662100,492.04
2012-12-17,483.42,489.90,481.08,489.32,718100,488.48
2012-12-14,481.22,484.80,480.27,482.30,534600,481.48
2012-12-13,485.91,487.60,482.52,484.43,568000,483.60
2012-12-12,482.00,487.38,480.20,483.44,951200,482.61
2012-12-11,480.00,485.00,479.15,481.52,857700,480.70
2012-12-10,480.36,480.46,475.48,479.60,577000,478.78
2012-12-07,481.65,482.84,476.01,476.09,638900,475.28
2012-12-06,475.75,480.88,473.86,480.88,597700,480.06
2012-12-05,483.00,484.00,474.40,478.00,664500,477.18
2012-12-04,487.63,488.00,480.58,483.42,643000,482.59
2012-12-03,491.00,494.51,485.57,486.65,849700,485.82
2012-11-30,485.78,489.86,483.84,488.68,982600,487.84
2012-11-29,484.20,490.75,483.24,486.21,908000,485.38
2012-11-28,475.73,481.58,474.77,481.51,658400,480.69
2012-11-27,480.09,483.68,477.90,478.49,487700,477.67
2012-11-26,480.18,482.78,478.29,480.03,497600,479.21
2012-11-23,480.85,482.00,478.00,481.24,239100,480.42
2012-11-21,478.42,480.70,477.55,479.43,292700,478.61
2012-11-20,479.05,482.58,472.22,477.57,680400,476.75
2012-11-19,469.40,478.68,468.39,478.68,681300,477.86
2012-11-16,458.46,470.46,456.01,464.59,902900,463.80
2012-11-15,462.93,462.93,453.57,457.16,707100,456.38
2012-11-14,472.67,473.99,462.33,463.31,608000,462.52
2012-11-13,467.10,476.92,464.74,471.22,495900,470.41
2012-11-12,465.68,470.97,463.07,470.00,702500,469.20
2012-11-09,458.52,468.70,458.48,464.66,642000,463.87
2012-11-08,464.32,468.21,461.80,461.80,620300,461.01
2012-11-07,470.00,471.19,461.51,464.70,763700,463.91
2012-11-06,468.56,472.89,467.19,471.78,412000,470.97
2012-11-05,467.26,470.96,464.68,465.65,616900,464.85
2012-11-02,471.54,476.99,468.68,469.45,951400,468.65
2012-11-01,463.41,474.99,462.07,468.69,936400,467.89
2012-10-31,452.52,465.00,451.18,460.93,1193000,460.14
2012-10-26,449.36,457.70,448.21,452.98,685200,452.21
2012-10-25,456.50,458.58,447.38,449.36,893800,448.59
2012-10-24,464.75,465.02,453.00,454.54,708300,453.76
2012-10-23,462.55,464.75,458.00,459.86,729400,459.07
2012-10-22,472.98,472.98,462.00,466.93,775400,466.13
2012-10-19,474.63,476.81,467.90,470.06,1007000,469.26
2012-10-18,482.47,485.65,474.37,475.83,878800,475.02
2012-10-17,485.99,486.08,479.16,483.00,724800,482.17
2012-10-16,479.28,481.51,476.09,479.01,455700,478.19
2012-10-15,472.34,476.95,471.75,475.82,899500,475.01
2012-10-12,472.70,476.04,469.47,473.36,824300,472.55
2012-10-11,467.18,475.82,465.02,472.57,1262600,471.76
2012-10-10,464.99,465.17,460.48,462.09,505800,461.30
2012-10-09,472.26,473.00,461.27,464.88,810300,464.09
2012-10-08,474.24,475.48,469.82,471.93,554200,471.12
2012-10-05,478.00,483.00,472.87,475.27,900500,474.46
2012-10-04,472.75,475.00,471.41,474.88,634000,473.77
2012-10-03,459.00,474.68,457.67,473.76,1197600,472.65
2012-10-02,456.96,458.80,454.01,457.65,334700,456.58
2012-10-01,453.18,460.13,452.50,456.89,695700,455.82
2012-09-28,451.13,452.53,448.64,451.48,554800,450.42
2012-09-27,447.60,452.17,446.98,452.17,434200,451.11
2012-09-26,451.32,452.01,445.77,445.84,499100,444.80
2012-09-25,457.60,457.73,451.29,451.52,551000,450.46
2012-09-24,457.50,457.50,453.08,455.29,760800,454.22
2012-09-21,459.31,461.79,456.85,459.52,1285000,458.44
2012-09-20,447.53,459.32,447.25,454.18,1133900,453.12
2012-09-19,452.86,455.40,451.70,451.89,501100,450.83
2012-09-18,453.00,454.99,450.74,452.98,477100,451.92
2012-09-17,454.32,456.30,452.50,453.50,515700,452.44
2012-09-14,455.06,456.66,452.00,454.18,687500,453.12
2012-09-13,446.40,456.59,445.92,455.26,811900,454.19
2012-09-12,445.99,448.33,443.75,446.41,616800,445.37
2012-09-11,438.00,445.90,437.50,442.87,715800,441.83
2012-09-10,436.62,441.20,436.33,437.49,753400,436.47
2012-09-07,432.89,436.79,431.07,436.20,613500,435.18
2012-09-06,425.00,432.60,422.56,432.60,961700,431.59
2012-09-05,423.94,425.42,420.36,422.10,552600,421.11
2012-09-04,417.54,426.00,417.54,424.38,509100,423.39
2012-08-31,422.30,423.63,419.01,422.90,464900,421.91
2012-08-30,422.53,423.95,420.27,420.95,380100,419.96
2012-08-29,424.98,426.47,421.74,425.82,401100,424.82
2012-08-28,422.62,425.90,422.62,424.60,398300,423.61
2012-08-27,422.49,426.20,420.52,423.42,469900,422.43
2012-08-24,418.60,423.47,417.67,422.45,513000,421.46
2012-08-23,420.93,422.80,416.67,418.33,574400,417.35
2012-08-22,421.10,425.72,418.83,421.20,693100,420.21
2012-08-21,427.03,429.81,422.45,423.31,423200,422.32
2012-08-20,427.10,428.60,423.69,427.20,438400,426.20
2012-08-17,427.95,429.46,425.16,426.81,541600,425.81
2012-08-16,427.24,430.90,426.03,428.52,413400,427.52
2012-08-15,428.08,431.10,426.20,427.09,405000,426.09
2012-08-14,427.05,433.15,426.34,428.08,569600,427.08
2012-08-13,424.57,426.76,422.12,425.63,403900,424.63
2012-08-10,423.36,427.86,423.35,426.03,456500,425.03
2012-08-09,424.05,427.86,420.64,425.94,707400,424.94
2012-08-08,415.97,427.00,415.17,424.45,1010100,423.46
2012-08-07,421.29,422.85,413.18,416.40,1217900,415.43
2012-08-06,424.20,427.56,419.00,419.85,763700,418.87
2012-08-03,428.43,429.00,423.00,424.13,1028000,423.14
2012-08-02,425.77,429.08,418.10,423.43,1144400,422.44
2012-08-01,424.09,432.99,420.00,427.20,2172300,426.20
2012-07-31,443.02,443.26,433.16,436.57,1153000,435.55
2012-07-30,436.20,446.75,436.20,441.15,989700,440.12
2012-07-27,423.81,436.75,423.22,436.75,964400,435.73
2012-07-26,418.82,427.44,417.62,423.77,706100,422.78
2012-07-25,413.00,415.00,406.49,412.33,606900,411.37
2012-07-24,417.28,417.78,404.70,409.89,945700,408.93
2012-07-23,416.27,418.60,411.28,415.98,914700,415.01
2012-07-20,424.90,426.87,421.43,423.15,896300,422.16
2012-07-19,438.24,438.99,427.94,427.94,819500,426.94
2012-07-18,433.36,439.45,432.00,436.82,577500,435.80
2012-07-17,438.32,440.00,430.07,435.68,619200,434.66
2012-07-16,439.77,448.00,435.74,436.89,1747900,435.87
2012-07-13,425.22,430.25,423.96,429.60,608200,428.59
2012-07-12,416.05,426.58,414.47,424.25,764600,423.26
2012-07-11,418.95,420.31,412.84,419.89,628400,418.91
2012-07-10,431.80,436.43,420.12,420.25,821100,419.27
2012-07-09,434.33,434.98,423.30,431.27,1106400,430.26
2012-07-06,441.03,445.25,439.44,441.63,816400,440.60
2012-07-05,440.44,445.00,438.43,444.05,597200,443.01
2012-07-03,439.55,443.40,436.80,441.77,486300,440.44
2012-07-02,435.07,439.93,430.16,439.90,618000,438.57
2012-06-29,427.46,430.23,425.63,430.11,935100,428.81
2012-06-28,429.29,430.38,416.76,421.30,962900,420.03
2012-06-27,433.18,435.73,431.15,431.92,444600,430.62
2012-06-26,429.75,434.32,427.03,432.22,619800,430.92
2012-06-25,432.85,434.31,428.52,428.52,700000,427.23
2012-06-22,421.58,435.08,420.60,435.08,870600,433.77
2012-06-21,428.80,432.70,421.04,421.17,554400,419.90
2012-06-20,427.83,429.99,421.12,428.81,499900,427.52
2012-06-19,428.99,429.80,425.75,427.57,687700,426.28
2012-06-18,424.93,427.99,422.30,425.62,630700,424.34
2012-06-15,422.75,426.69,419.95,426.69,809300,425.40
2012-06-14,409.64,419.98,409.54,419.05,745200,417.79
2012-06-13,415.08,418.17,408.00,409.75,795600,408.51
2012-06-12,414.00,419.90,410.94,417.75,578800,416.49
2012-06-11,420.50,421.25,413.51,413.84,590500,412.59
2012-06-08,412.45,416.61,410.91,416.55,744100,415.29
2012-06-07,424.51,425.07,413.98,415.71,943800,414.46
2012-06-06,414.57,419.98,412.77,419.98,973300,418.71
2012-06-05,401.03,409.79,400.24,408.20,969300,406.97
2012-06-04,391.70,401.52,390.10,400.26,966700,399.05
2012-06-01,398.61,399.24,389.90,391.78,1123700,390.60
2012-05-31,412.30,412.99,399.01,406.51,1066200,405.28
2012-05-30,410.90,415.63,409.30,411.58,674300,410.34
2012-05-29,417.33,419.75,413.19,416.05,465800,414.79
2012-05-25,416.55,421.95,412.12,413.96,694800,412.71
2012-05-24,420.06,428.77,416.10,419.83,1081000,418.56
2012-05-23,411.15,417.14,406.57,417.09,875000,415.83
2012-05-22,410.21,418.30,408.26,413.44,1231900,412.19
2012-05-21,396.00,410.79,394.20,410.58,1281100,409.34
2012-05-18,402.02,404.57,394.56,394.56,1111300,393.37
2012-05-17,413.80,413.80,398.50,398.58,1202000,397.38
2012-05-16,418.88,420.50,408.68,409.37,1295100,408.13
2012-05-15,414.72,419.97,413.37,414.47,676900,413.22
2012-05-14,418.17,421.00,414.44,414.44,1216400,413.19
